Words,Labels
"Declaring an arsenal of 39,967 tons of chemical weapons in 1997 , by far the largest arsenal , consisting of blister agents : Lewisite , Sulfur mustard , Lewisite-mustard mix , and nerve agents : Sarin , Soman , and VX",O O O O O O O O O O O O O O O O O O O O B-chemicalcompound I-chemicalcompound O B-chemicalcompound O B-chemicalcompound I-chemicalcompound O B-chemicalcompound I-chemicalcompound O O B-chemicalcompound I-chemicalcompound O B-chemicalcompound O B-chemicalcompound O O B-chemicalcompound
"Some of the many prestigious residents include : Academy Award winners Rustam Ibrahimbeyov and Vladimir Menshov , one of the founders and head of the Soviet space program Kerim Kerimov , Nobel Prize winner and physicist Lev Landau and famous musicians such as Gara Garayev , Uzeyir Hajibeyov , Muslim Magomayev , Vagif Mustafazadeh and Alim Qasimov",O O O O O O O O B-award I-award O B-person I-person O B-person I-person O O O O O O O O O B-organisation I-organisation I-organisation B-scientist I-scientist O B-award I-award O O O B-scientist I-scientist O O O O O B-person I-person O B-person I-person O B-person I-person O B-person I-person O B-person I-person
She competed in Cross-country skiing at the 1976 Winter Olympics,O O O B-misc I-misc O O B-event I-event I-event
"Max Planck , Albert Einstein , and Niels Bohr postulated the occurrence of energy in discrete quantities ( quanta ) in order to explain phenomena such as the spectrum of black-body radiation , the photoelectric effect , and the stability and spectra of atoms",B-scientist I-scientist O B-scientist I-scientist O O B-scientist I-scientist O O O O O O O O O O O O O O O O O O O O O B-misc I-misc O O B-theory I-theory O O O O O O O O
"As examples , antibiotic drug s of the tetracycline and quinolone families are chelators of Fe sup2 + / sup , Calcium sup2 + / sup , and Magnesium sup2 + / sup ions",O O O O O O O O B-chemicalcompound O B-chemicalcompound O O O O B-chemicalelement I-chemicalelement I-chemicalelement I-chemicalelement I-chemicalelement O B-chemicalelement I-chemicalelement I-chemicalelement I-chemicalelement I-chemicalelement O O B-chemicalelement I-chemicalelement I-chemicalelement I-chemicalelement I-chemicalelement O
Venturing into unexplored areas surrounding Olympus reveals hidden natural wonders and breathtaking landscapes within remote valleys,O O O O O B-mountain O O O O O O O O O O
Kenya 's diverse ecosystems are a UNESCO World Heritage Site,B-mountain O O O O O O O O O
"The invitees included Walther Bothe , Siegfried Flügge , Hans Geiger , Otto Hahn , Paul Harteck , Gerhard Hoffmann , Josef Mattauch , and Georg Stetter",O O O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O O B-scientist I-scientist
"Dr. Maria Suryati and her team at Indonesia 's Kerinci conduct comprehensive studies on alpine flora , unraveling intricate plant adaptations in extreme mountainous terrains , crucial for ecological preservation and sustainable biodiversity management in such challenging environments",O B-scientist I-scientist O O O O B-country O B-mountain O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The Himalayas , home to numerous majestic peaks , hold spiritual significance for many cultures and provide a natural barrier between South Asia and the Tibetan Plateau",O B-location O O O O O O O O O O O O O O O O O O O B-location I-location O O B-location I-location
"Richard Myers , ( 2003 ) He preferred speaking German to Swedish his whole life , as German was commonly spoken among Swedish pharmacists",B-scientist I-scientist O O O O O O O B-misc O B-misc O O O O O B-misc O O O O B-misc O
"Some ligninolytic enzymes include Haem peroxidase such as lignin peroxidase s , manganese peroxidase s , versatile peroxidase s , and Dye decolorizing peroxidase as well as copper-based laccase s",O B-misc I-misc O B-enzyme I-enzyme O O B-enzyme I-enzyme O O B-enzyme I-enzyme O O B-enzyme I-enzyme O O O B-enzyme I-enzyme I-enzyme O O O O B-enzyme O
"There were probably simple hydrides such as those now found in the gas giant s ( Jupiter and Saturn ) , notably water vapor , methane and ammonia",O O O O O O O O O O O O B-astronomicalobject I-astronomicalobject O O B-astronomicalobject O B-astronomicalobject O O O B-chemicalcompound I-chemicalcompound O B-chemicalcompound O B-chemicalcompound
"Observations around Timor - Leste 's Ramelau reveal wildlife species ' strategies in varied mountainous settings , enriching our understanding of adaptations in different environments",O O O O O O B-mountain O O O O O O O O O O O O O O O O O O
"Dr. Elena Ivanova and her team 's intensive research on glacier retreat near Georgia 's Kazbek explores climate shifts ' impacts on local ecosystems , providing critical insights into environmental changes affecting the region and influencing future conservation strategies",O B-scientist I-scientist O O O O O O O O O O B-country O B-mountain O O O O O O O O O O O O O O O O O O O O O O O
"The Andes , the longest mountain range on Earth , traverse several South American countries and harbor unique ecosystems rich in biodiversity",O B-mountain O O O O O O B-astronomicalobject O O O B-location O O O O O O O O O
"From 1884 to 1888 he studied at the universities of Humboldt University of Berlin and University of Strasbourg , after which he became an assistant at the Academy of Münster",O O O O O O O O O O B-university I-university I-university I-university O B-university I-university I-university O O O O O O O O O B-organisation I-organisation I-organisation
"In November 2006 , the Seventh World Summit of Nobel Peace Prize in Rome presented Gabriel with the Man of Peace award",O O O O O B-event I-event I-event I-event I-event I-event I-event O B-location O B-person O O B-award I-award I-award I-award
Researchers studying the impact of glacier retreat near Ojos del Salado delve into the intricate connections between climate changes and the delicate local ecosystems,O O O O O O O O B-mountain I-mountain I-mountain O O O O O O O O O O O O O
"The show has received recognition as one of Britain 's finest television programmes , winning the 2006 British Academy Television Award for Best Drama Series and five consecutive ( 2005-2010 ) awards at the National Television Awards during Russell T Davies ' tenure as executive producer",O O O O O O O O B-country O O O O O O O O B-award I-award I-award I-award I-award I-award I-award I-award O O O O O O O O O B-award I-award I-award O B-person I-person I-person O O O O O
"He has been elected to the US National Academy of Sciences and Britain 's Royal Society , as well as to the American Philosophical Society and the American Academy of Arts and Sciences",O O O O O O B-organisation I-organisation I-organisation I-organisation I-organisation O B-location O B-organisation I-organisation O O O O O O B-organisation I-organisation I-organisation O O B-organisation I-organisation I-organisation I-organisation I-organisation I-organisation
"Only when a virulence factor is sensed , the Adenosine diphosphate is exchanged for Adenosine triphosphate",O O O B-misc I-misc O O O O B-chemicalcompound I-chemicalcompound O O O B-chemicalcompound I-chemicalcompound
"Papua New Guinea 's Wilhelm beckons explorers with hidden marvels nestled within remote valleys , drawing fascination for its natural wonders awaiting discovery",B-country I-country I-country O B-mountain O O O O O O O O O O O O O O O O O O
The ongoing development of comprehensive conservation strategies targeting Apo highlights the urgent need to preserve its unique ecological balance for future generations,O O O O O O O O B-mountain O O O O O O O O O O O O O
Ragtime was nominated for twelve Tony Awards and won the Tony Award for Best Original Score for Lynn Ahrens and Stephen Flahertyin addition to the Drama Desk Award for Outstanding Lyrics,B-misc O O O O B-award I-award O O O B-award I-award I-award I-award I-award I-award O B-person I-person O B-person I-person O O O B-award I-award I-award I-award I-award I-award
"In the second step react Phosphoribosylamine , glycine and ATP to create Glycineamide ribonucleotide , ADP , and pyrophosphate - catalyzed by phosphoribosylamine - glycine ligase ( GAR synthetase )",O O O O O B-chemicalcompound O B-chemicalcompound O B-chemicalcompound O O B-chemicalcompound I-chemicalcompound O B-chemicalcompound O O B-chemicalcompound O O O B-enzyme I-enzyme I-enzyme I-enzyme O B-enzyme I-enzyme O
"Instead , for the UEFA Euro 2008 articles ( UEFA Euro 2008 , UEFA Euro 2008 Group A , UEFA Euro 2008 Group B , UEFA Euro 2008 Group C , UEFA Euro 2008 Group D and UEFA Euro 2008 knockout stage ) , the old partial URL string ones : Among the researchers who laid the foundations of AI were Alan Turing , John von Neumann , Norbert Wiener , Claude Shannon , Warren McCullough , Walter Pitts and Donald Hebb",O O O O B-event I-event I-event O O B-event I-event I-event O B-event I-event I-event O O O B-event I-event I-event O O O B-event I-event I-event O O O B-event I-event I-event O O O B-event I-event I-event O O O O O O O O O O O O O O O O O O O O O B-scientist I-scientist O B-scientist I-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist
"The collaborative efforts between esteemed geologist Dr. Lim Wei and seismologist Dr. Amir Khan near Malaysia 's Kinabalu delve into a profound understanding of seismic activities , unraveling the geological dynamics shaping the mountain 's foundation , essential for hazard assessment and regional geological studies",O O O O O O O B-scientist I-scientist O O O B-scientist I-scientist O B-country O B-mountain O O O O O O O O O O O O O O O O O O O O O O O O O O O
The ongoing development of comprehensive conservation strategies targeting Ojos del Salado highlights the urgency of preserving its unique ecological balance for future sustainability,O O O O O O O O B-mountain I-mountain I-mountain O O O O O O O O O O O O
"It is operated by the National Centre for Radio Astrophysics , a part of the Tata Institute of Fundamental Research , Mumbai",O O O O O B-organisation I-organisation I-organisation I-organisation I-organisation O O O O O B-organisation I-organisation I-organisation I-organisation I-organisation O B-location
Unveiling the geological history of Mount Elgon requires extensive exploration of its rock formations and the unique geological processes shaping its landscape,O O O O O O B-mountain O O O O O O O O O O O O O O O
"Since its first season , the series received accolades ranging from Emmy Award to Teen Choice Awards",O O O O O O O O O O O B-award I-award O B-award I-award I-award
"Amphitrite ( minor planet designation : 29 Amphridite ) is one of the largest S-type asteroid s , approximately in diameter , and probably third largest after 15 Eunomia and 3 Juno , although 7 Iris and 532 Herculina are similar in size",B-astronomicalobject O B-misc I-misc O O B-astronomicalobject I-astronomicalobject O O O O O O O O O O O O O O O O O O O B-astronomicalobject I-astronomicalobject O B-astronomicalobject I-astronomicalobject O O B-astronomicalobject I-astronomicalobject O B-astronomicalobject I-astronomicalobject O O O O
"Scaling the peaks of Giluwe demands technical proficiency and mental resilience , given its challenging terrain and unpredictable climate",O O O O B-mountain O O O O O O O O O O O O O O
"A 1990 Michael Winner film Bullseye ! , starring Michael Caine and Roger Moore , referenced the Fleischmann and Pons experiment",O O B-person I-person O B-misc I-misc O O B-person I-person O B-person I-person O O O B-misc I-misc I-misc I-misc
"He became an expert on the electrical conductivity of gases , the properties of ion s , and the behavior of atmospheric electricity , publishing in journals including the Physical Review , Journal of Applied Physics , Journal of Chemical Physics , and the Journal of Atmospheric Electricity and Terrestrial Magnetism",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-academicjournal I-academicjournal O B-academicjournal I-academicjournal I-academicjournal I-academicjournal O B-academicjournal I-academicjournal I-academicjournal I-academicjournal O O O B-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal
"This minor planet was named by Tadeusz Banachiewicz after Jan Śniadecki ( 1756-1830 ) , a Polish professor of mathematics and astronomy , who founded the Kraków Observatory ( )",O B-misc I-misc O O O B-scientist I-scientist O B-scientist I-scientist O O O O O B-misc O O B-discipline O B-discipline O O O O B-organisation I-organisation O O
Portions of Galveston County are served by College of the Mainland and Galveston College,O O B-location I-location O O O B-university I-university I-university I-university O B-university I-university
"The traditional precursor is N-Nitroso-N-methylurea , but this compound is itself somewhat unstable , and nowadays compounds such as Methylnitronitrosoguanidine ( MNNG ) and Diazald ( Diazald ) are preferred",O O O O B-chemicalcompound O O O O O O O O O O O O O O B-chemicalcompound O B-chemicalcompound O O B-chemicalcompound O B-chemicalcompound O O O
"Initiatives aimed at Giluwe in Papua New Guinea aim to conserve diverse ecosystems , preserving habitats for indigenous species critical for the region 's biodiversity",O O O B-mountain O B-country I-country I-country O O O O O O O O O O O O O O O O O
"Ascending Indonesia 's Kerinci requires both physical endurance and mental fortitude due to its demanding terrain , posing challenges to climbers aiming for its summit",O B-country O B-mountain O O O O O O O O O O O O O O O O O O O O O
"During the late 19th century , the pioneering geologist and explorer , John Muir , undertook numerous journeys through the Sierra Nevada mountain range in California , immersing himself in the pristine wilderness of places like Whitney , the highest summit in the contiguous United States , and Yosemite 's iconic Half Dome , documenting their geological formations , diverse ecosystems , and awe - inspiring landscapes , subsequently advocating for the preservation of these natural wonders , leading to the establishment of Yosemite National Park and a broader movement towards conservation across America",O O O O O O O O O O O O B-scientist I-scientist O O O O O O B-location I-location O O O B-location O O O O O O O O O O B-mountain O O O O O O O B-country I-country O O B-location O O B-mountain I-mountain O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-location I-location I-location O O O O O O O B-location
"Around Iran 's Damavand , researchers unveil species ' adaptive behaviors , observing wildlife in diverse mountainous environments , contributing to our understanding of survival strategies in challenging habitats",O B-country O B-mountain O O O O O O O O O O O O O O O O O O O O O O O O O
"The Asian Football Confederation , Oceania Football Confederation and CONCACAF ( the governing body of football in North and Central America and the Caribbean ) use blue text on their logos",O B-organisation I-organisation I-organisation O B-organisation I-organisation I-organisation O B-organisation O O O O O O O O O O B-country O O B-location O O O O O O O
"Dr. Louis Agassiz , conducting extensive geological surveys in the Swiss Alps during the mid-19th century , discovered compelling evidence of glacial erosion , shaping the landscape and forming U - shaped valleys , thereby revolutionizing our comprehension of the Earth 's past climatic changes",O B-scientist I-scientist O O O O O O O B-country B-mountain O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-astronomicalobject O O O O
"He entered the accredited Illinois Central College , then transferred to the unaccredited Midwestern Baptist College in 1972 , attaining a Bachelor of Religious Education in 1974",O O O O B-university I-university I-university O O O O O O B-university I-university I-university O O O O O B-misc O B-discipline I-discipline O O
"Insulin signaling activates the adenosine triphosphate ( ATP ) -sensitive potassium ( KATP ) channels in the arcuate nucleus , decreases AgRP release , and through the vagus nerve , leads to decreased glucose production by the liver by decreasing gluconeogenic enzymes : Phosphoenolpyruvate carboxykinase , Glucose 6-phosphatase",B-protein O O O B-chemicalcompound I-chemicalcompound O B-chemicalcompound O O B-chemicalelement O B-chemicalelement O O O O B-misc I-misc O O B-chemicalcompound O O O O O O O O O O O B-chemicalcompound O O O B-misc O O B-misc I-misc O B-enzyme I-enzyme O B-enzyme I-enzyme
"ATX-II slows down the inactivation of different Voltage-gated ion channel , including Nasubv / sub1.1 and Nasubv / sub1.2 , thus prolonging action potentials",B-chemicalcompound O O O O O O B-misc I-misc I-misc O O B-protein I-protein I-protein O B-protein I-protein I-protein O O O O O
"In the 2010 Bandy World Championship , he scored the golden goal in the final , giving the game to Sweden with 6-5 against Russia",O O B-event I-event I-event I-event O O O O O O O O O O O O O O B-country O O O B-country
"Strategies for Chile 's Ojos del Salado prioritize preserving its unique ecological balance , emphasizing sustainable measures crucial for maintaining the mountain 's distinctive environment",O O B-country O B-mountain I-mountain I-mountain O O O O O O O O O O O O O O O O O O
"Certain alleles of the human major histocompatibility complex ( Major histocompatibility complex , called Human leukocyte antigen in humans ) have been associated with the presence of Anti-Ro antibodies and the spread of the immune response",O O O O O O O O O B-misc I-misc I-misc O O B-misc I-misc I-misc O O O O O O O O O O B-protein I-protein O O O O O O O
The Zeitschrift für Naturforschung ( English : Journal for Nature Research ) was established in 1946 by the Max Planck Institute and the physical sciences ( Zeitschrift für Naturforschung A ) were separated from the other natural sciences ( Part B ) from 1947,O B-academicjournal I-academicjournal I-academicjournal O B-misc O B-academicjournal I-academicjournal I-academicjournal I-academicjournal O O O O O O O B-organisation I-organisation I-organisation O B-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal I-academicjournal O O O O O O O O O O O O O
"After important contributions of Hendrik Lorentz and Henri Poincaré , in 1905 , Albert Einstein solved the problem with the introduction of special relativity , which replaced classical kinematics with a new theory of kinematics compatible with classical electromagnetism",O O O O B-scientist I-scientist O B-scientist I-scientist O O O O B-scientist I-scientist O O O O O O O B-theory I-theory O O O B-discipline I-discipline O O O O O B-discipline O O B-discipline I-discipline
Alpine flora near Meru provide valuable insights into the adaptive strategies of plants,O O O B-mountain O O O O O O O O O
Washington in New Hampshire is notorious for its extreme weather,B-location O I-country I-location O O O O O O
Organic Syntheses and Inorganic Syntheses are considered to be secondary sources rather than primary sources,B-academicjournal I-academicjournal O B-academicjournal I-academicjournal O O O O O O O O O O
Whitney in California rewards climbers with panoramic views,B-mountain O B-location O O O O O
Morley was the president of the American Association for the Advancement of Science in 1895 and he was the president of the American Chemical Society in 1899,B-scientist O O O O O B-organisation I-organisation I-organisation I-organisation I-organisation I-organisation I-organisation O O O O O O O O O B-organisation I-organisation I-organisation O O
"Such a definition of the term planet could also have led to changes in classification for the trans-Neptunian object s , and the asteroids 4 Vesta , 2 Pallas , and 10 Hygiea",O O O O O O O O O O O O O O O O O B-misc I-misc O O O O O B-astronomicalobject I-astronomicalobject O B-astronomicalobject I-astronomicalobject O O B-astronomicalobject I-astronomicalobject
"Roald Amundsen , the intrepid Norwegian polar explorer , ventured into the remote expanses of Antarctica in the early 20th century , navigating the treacherous terrains surrounding Erebus , an active volcano and one of the continent 's most prominent peaks , as part of his groundbreaking South Pole expedition , enduring extreme cold and harsh conditions to chart unexplored territories and conduct scientific observations , contributing significantly to our understanding of the Antarctic environment and paving the way for subsequent explorations in this inhospitable region",B-scientist I-scientist O O O O O O O O O O O O O B-location O O O O O O O O O O O B-mountain O O O O O O O O O O O O O O O O O O O B-location O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Collaboration between geologists and seismologists is essential in comprehensively understanding the geological dynamics surrounding Chirripo and its seismic activity,O O O O O O O O O O O O O O B-mountain O O O O
"The scientists found that while CRISPR could effectively cleave the β-globin gene ( HBB ) , the efficiency of homologous recombination directed repair of HBB was highly inefficient and did not do so in a majority of the trials",O O O O O B-misc O O O O B-misc I-misc O B-protein O O O O O B-misc I-misc O O O B-protein O O O O O O O O O O O O O O
"2060 Chiron is a small Solar System body in the outer Solar System , orbit ing the Sun between Saturn and Uranus",B-astronomicalobject I-astronomicalobject O O B-misc I-misc I-misc I-misc O O O B-misc I-misc O O O O B-astronomicalobject O B-astronomicalobject O B-astronomicalobject
"Alberts has also served as an editor for numerous peer-reviewed journals in a variety of fields , including Behavioral Ecology ( journal ) , the American Journal of Primatology , and PeerJ",B-scientist O O O O O O O O O O O O O O O O O B-academicjournal I-academicjournal O O O O O B-academicjournal I-academicjournal I-academicjournal I-academicjournal O O B-academicjournal
"After the war , he returned to research at the Cavendish Laboratory in Cambridge and completed building his first mass spectrograph that he reported on in 1919 and a fellow of the Royal Society and received the Nobel Prize in Chemistry the following year",O O O O O O O O O O B-organisation I-organisation O B-university O O O O O O O O O O O O O O O B-award I-award I-award I-award I-award O O O B-award I-award I-award I-award O O O
"In 2005 , he won Grammy Award for Best Pop Instrumental Performance for Caravan and Grammy Award for Best Rock Instrumental Performance for 69 Freedom Special",O O O O O B-award I-award I-award I-award I-award I-award I-award O B-misc O B-award I-award I-award I-award I-award I-award I-award O B-misc I-misc I-misc
He served as editor of Optics Communications ( 1987-2006 ) and was member of the editorial board at Physical Review A,O O O O O B-academicjournal I-academicjournal O O O O O O O O O O O B-academicjournal I-academicjournal I-academicjournal
"Many families of proteins act as negative regulators categorized into either antiapoptotic factors , such as IAP nowiki / s and Bcl-2 family proteins or prosurvival factors like cFLIP , BNIP3 , FADD , Protein kinase B , and NF-κB",O O O O O O O O O O O O O O O O B-protein O O O O B-protein I-protein O O O O O B-protein O B-protein O B-protein O B-protein I-protein I-protein O O B-protein
"The Haldane Lecture at the John Innes Centre , of The Genetics Society is also named in his honour",O B-award I-award O O B-location I-location I-location O O B-organisation I-organisation I-organisation O O O O O O
"Somatic enrichment for transversion mutations ( G : CT : A ) has been associated with base excision repair ( BER ) deficiency and linked to defective MUTYH , a DNA glycosylase , in colorectal cancer",O O O B-misc O O O O O O O O O O O O B-misc I-misc I-misc O B-misc O O O O O O B-misc O O B-enzyme I-enzyme O O B-misc I-misc
"Mount Kilimanjaro in Tanzania , climbed by Hans Meyer in 1889 , stands as Africa 's tallest peak",O B-mountain O B-country O O O O O O O O O O B-location O O O
"The resultant increase in Aryl hydrocarbon receptor repressor expression could lead to a decrease in the body 's ability to break down carcinogens , increasing the risk of cancer",O O O O B-misc I-misc I-misc I-misc O O O O O O O O O O O O O O B-misc O O O O O O
"Renowned mountaineers and researchers , Dr. Edmund Hillary and Sir Tenzing Norgay 's historic triumph on Nepal 's Everest , inspire future generations of explorers and adventurers worldwide",O O O O O O B-scientist I-scientist O O B-scientist I-scientist O O O O B-country O B-mountain O O O O O O O O O
"In the 1950s , James D. Watson , Francis Crick , Rosalind Franklin , and Maurice Wilkins were instrumental in solving DNA structure and suggesting its relationship with the genetic transfer of information",O O O O B-scientist I-scientist I-scientist O B-scientist I-scientist O B-scientist I-scientist O O B-scientist I-scientist O O O O B-misc O O O O O O O O O O O
"Reinhold Messner , the legendary Italian mountaineer , explored the world 's highest peaks , including the daunting slopes of K2 , the second - highest mountain on Earth located in the Karakoram Range in Pakistan , where his daring ascents and unparalleled mountaineering skills marked milestones in alpinism , overcoming immense challenges and hazards in scaling this formidable peak , further solidifying his legacy as one of the most accomplished and audacious climbers in history",B-scientist I-scientist O O O O O O O O O O O O O O O O O O B-mountain O O O O O O O B-astronomicalobject O O O B-location I-location O B-country O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"He was a professor of microbiology , and of public health at the Prince Leopold Institute of Tropical Medicine , in Antwerp , and at the University of Nairobi , Vrije Universiteit Brussel , the University of Lausanne , and a visiting professor at the London School of Economics",O O O O O B-discipline O O O O O O O B-organisation I-organisation I-organisation I-organisation I-organisation I-organisation O O B-location O O O O B-university I-university I-university O B-university I-university I-university O O B-university I-university I-university O O O O O O O B-organisation I-organisation I-organisation I-organisation
"The first one , Annales de physique , was latterly published by EDP Sciences under the same name up to 2009 , when it became integrated in the European Physical Journal series as the European Physical Journal H",O O O O B-academicjournal I-academicjournal I-academicjournal O O O O O B-organisation I-organisation O O O O O O O O O O O O O O B-academicjournal I-academicjournal I-academicjournal O O O B-academicjournal I-academicjournal I-academicjournal I-academicjournal
Ascending the peaks of Khuiten demands both physical endurance and mental fortitude to conquer its challenging terrain and demanding ascent,O O O O B-mountain O O O O O O O O O O O O O O O
"For example , Saturn ' s moons Titan and Enceladus and Jupiter ' s moons Europa and Ganymede , all of which are outside the habitable zone , may hold large volumes of liquid water in subsurface ocean s",O O O B-astronomicalobject O O O B-astronomicalobject O B-astronomicalobject O B-astronomicalobject O O O B-astronomicalobject O B-astronomicalobject O O O O O O O O O O O O O O O O O O O O O
Jupiter rarely occults Saturn,B-astronomicalobject O O B-astronomicalobject
